"","area","date","source","med_inc"
"216","Opotiki District",1996-03-31,"Census, median household income",23300
"217","Opotiki District",2001-03-31,"Census, median household income",25950
"218","Opotiki District",2006-03-31,"Census, median household income",32466.6666666667
"219","Opotiki District",2013-03-31,"Census, median household income",40400
"220","Opotiki District",2018-03-31,"Census, median household income",49200
"221","Otago Region",1996-03-31,"Census, median household income",30000
"222","Otago Region",2001-03-31,"Census, median household income",33200
"223","Otago Region",2006-03-31,"Census, median household income",44400
"224","Otago Region",2013-03-31,"Census, median household income",56400
"225","Otago Region",2018-03-31,"Census, median household income",67000
"226","Otorohanga District",1996-03-31,"Census, median household income",34200
"227","Otorohanga District",2001-03-31,"Census, median household income",38350
"228","Otorohanga District",2006-03-31,"Census, median household income",47500
"229","Otorohanga District",2013-03-31,"Census, median household income",58700
"230","Otorohanga District",2018-03-31,"Census, median household income",67900
"231","Palmerston North City",1996-03-31,"Census, median household income",35000
"232","Palmerston North City",2001-03-31,"Census, median household income",38400
"233","Palmerston North City",2006-03-31,"Census, median household income",48066.6666666667
"234","Palmerston North City",2013-03-31,"Census, median household income",58450
"235","Palmerston North City",2018-03-31,"Census, median household income",67300
"236","Porirua City",1996-03-31,"Census, median household income",43900
"237","Porirua City",2001-03-31,"Census, median household income",49350
"238","Porirua City",2006-03-31,"Census, median household income",62366.6666666667
"239","Porirua City",2013-03-31,"Census, median household income",78950
"240","Porirua City",2018-03-31,"Census, median household income",92200
"241","Queenstown-Lakes District",1996-03-31,"Census, median household income",38400
"242","Queenstown-Lakes District",2001-03-31,"Census, median household income",45300
"243","Queenstown-Lakes District",2006-03-31,"Census, median household income",63733.3333333333
"244","Queenstown-Lakes District",2013-03-31,"Census, median household income",73300
"245","Queenstown-Lakes District",2018-03-31,"Census, median household income",103100
"246","Rangitikei District",1996-03-31,"Census, median household income",28700
"247","Rangitikei District",2001-03-31,"Census, median household income",31100
"248","Rangitikei District",2006-03-31,"Census, median household income",40500
"249","Rangitikei District",2013-03-31,"Census, median household income",48600
"250","Rangitikei District",2018-03-31,"Census, median household income",55700
"251","Rotorua District",1996-03-31,"Census, median household income",34700
"252","Rotorua District",2001-03-31,"Census, median household income",38200
"253","Rotorua District",2006-03-31,"Census, median household income",47600
"254","Rotorua District",2013-03-31,"Census, median household income",55500
"255","Rotorua District",2018-03-31,"Census, median household income",65300
"256","Ruapehu District",1996-03-31,"Census, median household income",29200
"257","Ruapehu District",2001-03-31,"Census, median household income",31450
"258","Ruapehu District",2006-03-31,"Census, median household income",38966.6666666667
"259","Ruapehu District",2013-03-31,"Census, median household income",44350
"260","Ruapehu District",2018-03-31,"Census, median household income",53100
