"area","date","source","med_rent"
"Waikato District",2018-03-31,"Census, median rent",300
"Waikato Region",1996-03-31,"Census, median rent",125
"Waikato Region",2001-03-31,"Census, median rent",147.5
"Waikato Region",2006-03-31,"Census, median rent",180
"Waikato Region",2013-03-31,"Census, median rent",250
"Waikato Region",2018-03-31,"Census, median rent",300
"Waimakariri District",1996-03-31,"Census, median rent",130
"Waimakariri District",2001-03-31,"Census, median rent",150
"Waimakariri District",2006-03-31,"Census, median rent",200
"Waimakariri District",2013-03-31,"Census, median rent",290
"Waimakariri District",2018-03-31,"Census, median rent",360
"Waimate District",1996-03-31,"Census, median rent",66
"Waimate District",2001-03-31,"Census, median rent",80
"Waimate District",2006-03-31,"Census, median rent",100.333333333333
"Waimate District",2013-03-31,"Census, median rent",150
"Waimate District",2018-03-31,"Census, median rent",190
"Waipa District",1996-03-31,"Census, median rent",130
"Waipa District",2001-03-31,"Census, median rent",150
"Waipa District",2006-03-31,"Census, median rent",180
"Waipa District",2013-03-31,"Census, median rent",260
"Waipa District",2018-03-31,"Census, median rent",310
"Wairoa District",1996-03-31,"Census, median rent",87
"Wairoa District",2001-03-31,"Census, median rent",95
"Wairoa District",2006-03-31,"Census, median rent",100.333333333333
"Wairoa District",2013-03-31,"Census, median rent",140
"Wairoa District",2018-03-31,"Census, median rent",160
"Waitaki District",1996-03-31,"Census, median rent",95
"Waitaki District",2001-03-31,"Census, median rent",96.6666666666667
"Waitaki District",2006-03-31,"Census, median rent",130
"Waitaki District",2013-03-31,"Census, median rent",195
"Waitaki District",2018-03-31,"Census, median rent",230
"Waitomo District",1996-03-31,"Census, median rent",90
"Waitomo District",2001-03-31,"Census, median rent",100
"Waitomo District",2006-03-31,"Census, median rent",120
"Waitomo District",2013-03-31,"Census, median rent",160
"Waitomo District",2018-03-31,"Census, median rent",180
"Wellington City",1996-03-31,"Census, median rent",170
"Wellington City",2001-03-31,"Census, median rent",220
"Wellington City",2006-03-31,"Census, median rent",270
"Wellington City",2013-03-31,"Census, median rent",370
"Wellington City",2018-03-31,"Census, median rent",440
"Wellington Region",1996-03-31,"Census, median rent",155
"Wellington Region",2001-03-31,"Census, median rent",177.5
"Wellington Region",2006-03-31,"Census, median rent",210.333333333333
"Wellington Region",2013-03-31,"Census, median rent",300
"Wellington Region",2018-03-31,"Census, median rent",350
"West Coast Region",1996-03-31,"Census, median rent",100
"West Coast Region",2001-03-31,"Census, median rent",100
"West Coast Region",2006-03-31,"Census, median rent",128.666666666667
"West Coast Region",2013-03-31,"Census, median rent",200
"West Coast Region",2018-03-31,"Census, median rent",200
"Western Bay of Plenty District",1996-03-31,"Census, median rent",120
"Western Bay of Plenty District",2001-03-31,"Census, median rent",150
"Western Bay of Plenty District",2006-03-31,"Census, median rent",180.333333333333
"Western Bay of Plenty District",2013-03-31,"Census, median rent",250
"Western Bay of Plenty District",2018-03-31,"Census, median rent",300
"Westland District",1996-03-31,"Census, median rent",100
"Westland District",2001-03-31,"Census, median rent",100
"Westland District",2006-03-31,"Census, median rent",122
"Westland District",2013-03-31,"Census, median rent",180
"Westland District",2018-03-31,"Census, median rent",200
"Whakatane District",1996-03-31,"Census, median rent",120
"Whakatane District",2001-03-31,"Census, median rent",137.5
"Whakatane District",2006-03-31,"Census, median rent",160
"Whakatane District",2013-03-31,"Census, median rent",220
"Whakatane District",2018-03-31,"Census, median rent",240
"Whanganui District",1996-03-31,"Census, median rent",120
"Whanganui District",2001-03-31,"Census, median rent",120
"Whanganui District",2006-03-31,"Census, median rent",140
"Whanganui District",2013-03-31,"Census, median rent",180
"Whanganui District",2018-03-31,"Census, median rent",200
"Whangarei District",1996-03-31,"Census, median rent",130
"Whangarei District",2001-03-31,"Census, median rent",147.5
"Whangarei District",2006-03-31,"Census, median rent",180
"Whangarei District",2013-03-31,"Census, median rent",250
"Whangarei District",2018-03-31,"Census, median rent",300
